2025-11-01 17:17:31.357 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input-dec.tar (61419520 bytes) into 1 chunks
2025-11-01 17:17:33.198 [pool-3-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50463077 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 17:20:52.133 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuFrequencyService - Selected GPU device: NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available)
2025-11-01 17:20:52.151 [JavaFX Application Thread] INFO  com.datacomp.service.gpu.GpuCompressionService - GPU compression service initialized: GPU (NVIDIA GeForce MX330 CL_DEVICE_TYPE_GPU (available))
2025-11-01 17:20:52.161 [JavaFX Application Thread] INFO  com.datacomp.service.ServiceFactory - Using GPU compression service
2025-11-01 17:21:00.806 [pool-5-thread-1] INFO  com.datacomp.benchmark.BenchmarkSuite - Starting benchmark suite on file: /home/vuyraj/input-dec.tar
2025-11-01 17:21:00.807 [pool-5-thread-1] INFO  com.datacomp.benchmark.BenchmarkSuite - Benchmarking CPU: CPU Compression
2025-11-01 17:21:00.809 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input-dec.tar (61419520 bytes) into 1 chunks
2025-11-01 17:21:02.548 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50463077 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 17:21:02.551 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input-dec.tar (61419520 bytes) into 1 chunks
2025-11-01 17:21:04.162 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50463077 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
2025-11-01 17:21:04.165 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compressing input-dec.tar (61419520 bytes) into 1 chunks
2025-11-01 17:21:05.601 [pool-5-thread-1] INFO  com.datacomp.service.cpu.CpuCompressionService - Compression complete: 61419520 -> 50463077 bytes ({:.2f}%) in {:.2f}s ({:.2f} MB/s)
